,data,rubrica,num_indice,trimestre,ano,Var. % interanual,Var. % anual,num_indice_acum,Var. % acumulada no ano
187,2001-01-01,PIB,110.1,2001.I,2001,3.4774436090225347,4.159215995912757,110.1,3.4774436090225347
196,2001-04-01,PIB,112.82,2001.II,2001,2.331065759637174,3.741778207074198,222.92,2.894068774521119
205,2001-07-01,PIB,114.71,2001.III,2001,0.45538138190734934,2.6829767399559,337.63,2.052351589892387
214,2001-10-01,PIB,113.38,2001.IV,2001,-0.5264081417792665,1.3915741198687215,451.01,1.3915741198686993
223,2002-01-01,PIB,110.63,2002.I,2002,0.4813805631244339,0.6733256042093849,110.63,0.4813805631244339
232,2002-04-01,PIB,115.41,2002.II,2002,2.2956922531466084,0.6739231638918985,226.04,1.3996052395478298
241,2002-07-01,PIB,119.5,2002.III,2002,4.175747537267904,1.6186532627709527,345.53999999999996,2.342801291354424
250,2002-10-01,PIB,119.24,2002.IV,2002,5.1684600458634655,3.0531473803241616,464.78,3.0531473803241616
259,2003-01-01,PIB,113.58,2003.I,2003,2.666546144807014,3.5855073747619315,113.58,2.666546144807014
268,2003-04-01,PIB,116.31,2003.II,2003,0.7798284377436904,3.192918327351202,229.89,1.7032383648911686
277,2003-07-01,PIB,120.25,2003.III,2003,0.6276150627614996,2.2792643598012807,350.14,1.3312496382473782
286,2003-10-01,PIB,119.94,2003.IV,2003,0.5870513250587184,1.1403244545806546,470.08,1.1403244545806546
295,2004-01-01,PIB,117.98,2004.I,2004,3.873921465046659,1.4431402732345777,117.98,3.873921465046659
304,2004-04-01,PIB,123.65,2004.II,2004,6.310721348121406,2.8145872009901263,241.63,5.106790204010614
313,2004-07-01,PIB,128.14,2004.III,2004,6.561330561330547,4.3312454727512995,369.77,5.606328897012625
322,2004-10-01,PIB,127.39,2004.IV,2004,6.2114390528597685,5.76072157930565,497.15999999999997,5.76072157930565
331,2005-01-01,PIB,122.92,2005.I,2005,4.18715036446855,5.8211094250548046,122.92,4.18715036446855
340,2005-04-01,PIB,129.18,2005.II,2005,4.472300849171051,5.35677223859532,252.10000000000002,4.333071224599605
349,2005-07-01,PIB,130.85,2005.III,2005,2.1148743561729466,4.212697310653235,382.95000000000005,3.5643778565054074
358,2005-10-01,PIB,130.13,2005.IV,2005,2.1508752649344487,3.202188430283992,513.08,3.2021884302840364
367,2006-01-01,PIB,128.18,2006.I,2006,4.279205987634227,3.234415455088624,128.18,4.279205987634227
376,2006-04-01,PIB,132.13,2006.II,2006,2.28363523765287,2.6909363118806873,260.31,3.256644188813951
385,2006-07-01,PIB,136.72,2006.III,2006,4.486052732136048,3.295841987694459,397.03,3.6767201984593045
394,2006-10-01,PIB,136.37,2006.IV,2006,4.7952047952048105,3.960396039603964,533.4,3.9603960396039417
403,2007-01-01,PIB,134.84,2007.I,2007,5.19581838040255,4.190299803217945,134.84,5.19581838040255
412,2007-04-01,PIB,140.77,2007.II,2007,6.539014606826621,5.258109689424328,275.61,5.877607468018908
421,2007-07-01,PIB,144.75,2007.III,2007,5.873317729666483,5.60930267850368,420.36,5.876130267234214
430,2007-10-01,PIB,145.43,2007.IV,2007,6.643689961135157,6.07236595425571,565.79,6.07236595425571
439,2008-01-01,PIB,143.14,2008.I,2008,6.155443488579038,6.301151723882548,143.14,6.155443488579038
448,2008-04-01,PIB,149.69,2008.II,2008,6.33657739575193,6.252961545471103,292.83,6.247959072602582
457,2008-07-01,PIB,154.86,2008.III,2008,6.9844559585492405,6.536382088265413,447.69,6.501570082786179
466,2008-10-01,PIB,146.92,2008.IV,2008,1.0245478924568285,5.093762703476545,594.61,5.093762703476568
475,2009-01-01,PIB,139.67,2009.I,2009,-2.424200083834005,2.9699176087373047,139.67,-2.424200083834005
484,2009-04-01,PIB,146.39,2009.II,2009,-2.2045560825706523,0.8284592031011506,286.05999999999995,-2.3119215927330017
493,2009-07-01,PIB,153.06,2009.III,2009,-1.162340178225496,-1.1936876180199674,439.11999999999995,-1.9142710357613613
502,2009-10-01,PIB,154.75,2009.IV,2009,5.329430982847816,-0.12445132103393597,593.8699999999999,-0.12445132103398038
511,2010-01-01,PIB,152.53,2010.I,2010,9.207417484069612,2.637277125554016,152.53,9.207417484069612
520,2010-04-01,PIB,158.86,2010.II,2010,8.518341416763464,5.334784975503548,311.39,8.854785709291768
529,2010-07-01,PIB,163.63,2010.III,2010,6.905788579641969,7.461947989898299,475.02,8.175441792676263
