,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
71,1,Brasil,30,Número-índice,109.92,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
72,1,Brasil,30,Número-índice,117.35,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
73,1,Brasil,30,Número-índice,100.15,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
74,1,Brasil,30,Número-índice,104.04,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
75,1,Brasil,30,Número-índice,105.19,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
76,1,Brasil,30,Número-índice,105.11,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
77,1,Brasil,30,Número-índice,106.10,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
78,1,Brasil,30,Número-índice,101.42,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
79,1,Brasil,30,Número-índice,111.21,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
80,1,Brasil,30,Número-índice,115.40,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
81,1,Brasil,30,Número-índice,126.73,1,Brasil,199801,1º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
82,1,Brasil,30,Número-índice,112.71,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
83,1,Brasil,30,Número-índice,104.63,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
84,1,Brasil,30,Número-índice,106.35,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
85,1,Brasil,30,Número-índice,106.80,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
86,1,Brasil,30,Número-índice,105.78,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
87,1,Brasil,30,Número-índice,102.10,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
88,1,Brasil,30,Número-índice,111.62,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
89,1,Brasil,30,Número-índice,118.38,1,Brasil,199802,2º trimestre 1998,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
