,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
61,1,Brasil,2,%,0.09,1,Brasil,201907,julho 2019,355,IPCA15 - Variação mensal
62,1,Brasil,2,%,0.08,1,Brasil,201908,agosto 2019,355,IPCA15 - Variação mensal
63,1,Brasil,2,%,0.09,1,Brasil,201909,setembro 2019,355,IPCA15 - Variação mensal
64,1,Brasil,2,%,0.09,1,Brasil,201910,outubro 2019,355,IPCA15 - Variação mensal
65,1,Brasil,2,%,0.14,1,Brasil,201911,novembro 2019,355,IPCA15 - Variação mensal
66,1,Brasil,2,%,1.05,1,Brasil,201912,dezembro 2019,355,IPCA15 - Variação mensal
67,1,Brasil,2,%,0.71,1,Brasil,202001,janeiro 2020,355,IPCA15 - Variação mensal
68,1,Brasil,2,%,0.22,1,Brasil,202002,fevereiro 2020,355,IPCA15 - Variação mensal
69,1,Brasil,2,%,0.02,1,Brasil,202003,março 2020,355,IPCA15 - Variação mensal
70,1,Brasil,2,%,-0.01,1,Brasil,202004,abril 2020,355,IPCA15 - Variação mensal
71,1,Brasil,2,%,-0.59,1,Brasil,202005,maio 2020,355,IPCA15 - Variação mensal
72,1,Brasil,2,%,0.02,1,Brasil,202006,junho 2020,355,IPCA15 - Variação mensal
73,1,Brasil,2,%,0.30,1,Brasil,202007,julho 2020,355,IPCA15 - Variação mensal
74,1,Brasil,2,%,0.23,1,Brasil,202008,agosto 2020,355,IPCA15 - Variação mensal
75,1,Brasil,2,%,0.45,1,Brasil,202009,setembro 2020,355,IPCA15 - Variação mensal
76,1,Brasil,2,%,0.94,1,Brasil,202010,outubro 2020,355,IPCA15 - Variação mensal
77,1,Brasil,2,%,0.81,1,Brasil,202011,novembro 2020,355,IPCA15 - Variação mensal
78,1,Brasil,2,%,1.06,1,Brasil,202012,dezembro 2020,355,IPCA15 - Variação mensal
79,1,Brasil,2,%,0.78,1,Brasil,202101,janeiro 2021,355,IPCA15 - Variação mensal
80,1,Brasil,2,%,0.48,1,Brasil,202102,fevereiro 2021,355,IPCA15 - Variação mensal
81,1,Brasil,2,%,0.93,1,Brasil,202103,março 2021,355,IPCA15 - Variação mensal
82,1,Brasil,2,%,0.60,1,Brasil,202104,abril 2021,355,IPCA15 - Variação mensal
83,1,Brasil,2,%,0.44,1,Brasil,202105,maio 2021,355,IPCA15 - Variação mensal
84,1,Brasil,2,%,0.83,1,Brasil,202106,junho 2021,355,IPCA15 - Variação mensal
85,1,Brasil,2,%,0.72,1,Brasil,202107,julho 2021,355,IPCA15 - Variação mensal
86,1,Brasil,2,%,0.89,1,Brasil,202108,agosto 2021,355,IPCA15 - Variação mensal
87,1,Brasil,2,%,1.14,1,Brasil,202109,setembro 2021,355,IPCA15 - Variação mensal
88,1,Brasil,2,%,1.20,1,Brasil,202110,outubro 2021,355,IPCA15 - Variação mensal
89,1,Brasil,2,%,1.17,1,Brasil,202111,novembro 2021,355,IPCA15 - Variação mensal
90,1,Brasil,2,%,0.78,1,Brasil,202112,dezembro 2021,355,IPCA15 - Variação mensal
91,1,Brasil,2,%,0.58,1,Brasil,202201,janeiro 2022,355,IPCA15 - Variação mensal
92,1,Brasil,2,%,0.99,1,Brasil,202202,fevereiro 2022,355,IPCA15 - Variação mensal
93,1,Brasil,2,%,0.95,1,Brasil,202203,março 2022,355,IPCA15 - Variação mensal
94,1,Brasil,2,%,1.73,1,Brasil,202204,abril 2022,355,IPCA15 - Variação mensal
95,1,Brasil,2,%,0.59,1,Brasil,202205,maio 2022,355,IPCA15 - Variação mensal
96,1,Brasil,2,%,0.69,1,Brasil,202206,junho 2022,355,IPCA15 - Variação mensal
97,1,Brasil,2,%,0.13,1,Brasil,202207,julho 2022,355,IPCA15 - Variação mensal
98,1,Brasil,2,%,-0.73,1,Brasil,202208,agosto 2022,355,IPCA15 - Variação mensal
99,1,Brasil,2,%,-0.37,1,Brasil,202209,setembro 2022,355,IPCA15 - Variação mensal
