data,Concessões de crédito - Total,ipca_credito,deflacionado,ajuste
2017-08-01,266033,4853.07,369225.78350405005,362.30453362218
2017-09-01,251855,4860.83,348990.18176936865,343.875312891965
2017-10-01,264017,4881.25,364312.3594058899,360.656954474064
2017-11-01,271125,4894.92,373075.75889902184,364.151330345446
2017-12-01,305726,4916.46,418844.60756316537,358.949097180367
2018-01-01,255548,4930.72,349088.23283414997,383.455729607544
2018-02-01,244817,4946.5,333362.40662084304,392.688151523831
2018-03-01,281668,4950.95,383196.94147587835,366.210162203007
2018-04-01,280100,4961.84,380227.40656691877,394.634610176497
2018-05-01,283288,4981.69,383022.72690592956,380.142075740714
2018-06-01,292071,5044.46,389984.0268433093,377.911123534603
2018-07-01,278588,5061.11,370757.2851410067,381.014991204212
2018-08-01,310499,5056.56,413597.6908115398,402.931979648965
2018-09-01,277534,5080.83,367921.0156017816,361.033039343665
2018-10-01,303446,5103.69,400470.1902545022,396.560642760683
2018-11-01,308013,5092.97,407353.0694565254,395.737434210372
2018-12-01,340794,5100.61,450031.4720592244,394.402782415391
2019-01-01,284019,5116.93,373861.7052510001,410.598350110265
2019-02-01,284219,5138.93,372523.3240090836,435.655707742519
2019-03-01,297678,5177.47,387259.61770903546,368.454285857811
2019-04-01,304796,5206.98,394272.43772781926,409.309900462881
2019-05-01,329959,5213.75,426268.10691920406,422.719434826453
2019-06-01,318959,5214.27,412016.31147792493,403.593338978935
2019-07-01,328991,5224.18,424169.0236649579,432.484334806724
2019-08-01,332306,5229.93,427972.01459675364,414.083143464328
2019-09-01,339983,5227.84,438034.15859131113,425.8351283238
2019-10-01,350479,5233.07,451105.914587422,447.01460643453
2019-11-01,347021,5259.76,444388.5836140812,431.170928475258
2019-12-01,404624,5320.25,512262.6160800714,458.988922353962
2020-01-01,321537,5331.42,406219.8326805992,445.262365838521
2020-02-01,307431,5344.75,387430.0710136115,456.149573002758
2020-03-01,395459,5348.49,498016.05078255734,476.408045174912
2020-04-01,296609,5331.91,374692.1365795747,392.560761705046
2020-05-01,285392,5311.65,361897.35498385626,358.412295729701
2020-06-01,320959,5325.46,405943.41004345164,399.383774565097
2020-07-01,343837,5344.63,433319.29532072385,439.740827867627
2020-08-01,346119,5357.46,435150.5807696185,419.023896724612
2020-09-01,368510,5391.75,460354.71423934714,442.659613384139
2020-10-01,352349,5438.12,436412.64020470314,432.198439564966
2020-11-01,377855,5486.52,463875.324477082,449.688942263562
2020-12-01,400655,5560.59,485313.92986175924,431.562808149644
2021-01-01,295395,5574.49,356920.1473587719,399.018164301395
2021-02-01,313166,5622.43,375166.1205742001,447.779056922078
2021-03-01,406649,5674.72,482667.80950425746,458.959072981411
2021-04-01,378634,5692.31,448026.94138232106,470.606553526112
2021-05-01,401464,5739.56,471130.3384231544,467.938359371256
2021-06-01,426835,5769.98,498263.1628272542,491.878443310039
2021-07-01,418143,5825.37,483475.39875578723,490.342296994184
2021-08-01,437435,5876.05,501419.3742820432,482.100619937189
2021-09-01,451159,5944.21,511220.8354768758,488.668799581502
2021-10-01,432575,6018.51,484111.60590411915,480.264831680967
2021-11-01,464195,6075.69,514609.63812340656,498.994628307648
2021-12-01,505554,6120.04,556399.0177678578,502.95180066613
2022-01-01,411029,6153.09,449937.5729836554,492.731843587359
2022-02-01,402231,6215.24,435903.84475096705,511.676189148763
2022-03-01,516765,6315.93,551098.0165628814,525.698827523518
2022-04-01,462611,6382.88,488171.40868228767,516.334156278733
2022-05-01,507155,6412.88,532672.9738042814,529.991972999796
2022-06-01,507243,6455.85,529219.3264481052,520.549926995119
2022-07-01,490884,6411.95,515658.0644265786,524.147049371095
2022-08-01,544987,6388.87,574559.6933182238,552.03022937223
2022-09-01,532373,6370.34,562893.8110289247,538.693607814886
2022-10-01,504821,6407.93,530631.1221486501,526.786563235929
2022-11-01,513458,6434.2,537506.1440272295,521.130110789161
2022-12-01,557031,6474.09,579527.0303702913,525.960546013535
2023-01-01,474572,6508.4,491135.0615512261,533.801637600384
2023-02-01,429088,6563.07,440364.5974216335,516.664833080882
2023-03-01,534286,6609.67,544461.3826862763,518.602661945711
2023-04-01,442683,6649.99,448378.64126863354,480.924868690228
2023-05-01,513180,6665.28,518590.2991322195,516.179892152948
2023-06-01,522718,6659.95,528651.6002222239,518.556684716978
2023-07-01,497007,6667.94,502046.433958614,512.734290873183
2023-08-01,553472,6683.28,557800.7100705043,532.069017824289
2023-09-01,542744,6700.66,545570.0407422553,520.934829556213
2023-10-01,537401,6716.74,538905.9730687804,534.64761577523
2023-11-01,547910,6735.55,547910.0,531.510439903589
