data,variavel,grupo,ipca_acum_ano
2020-01-01,IPCA % acum. ano,1116001.Leite de coco,2.51
2020-01-01,IPCA % acum. ano,1116005.Atomatado,0.19
2020-01-01,IPCA % acum. ano,1116010.Alho,1.36
2020-01-01,IPCA % acum. ano,1116013.Sal,-0.04
2020-01-01,IPCA % acum. ano,1116022.Colorau,0.52
2020-01-01,IPCA % acum. ano,1116023.Caldo de tucupi,0.97
2020-01-01,IPCA % acum. ano,1116026.Fermento,-0.17
2020-01-01,IPCA % acum. ano,1116033.Maionese,0.78
2020-01-01,IPCA % acum. ano,1116041.Vinagre,0.5
2020-01-01,IPCA % acum. ano,1116048.Caldo concentrado,-0.57
2020-01-01,IPCA % acum. ano,1116071.Tempero misto,-0.1
2020-01-01,IPCA % acum. ano,12.Alimentação fora do domicílio,0.82
2020-01-01,IPCA % acum. ano,1201.Alimentação fora do domicílio,0.82
2020-01-01,IPCA % acum. ano,1201001.Refeição,1.05
2020-01-01,IPCA % acum. ano,1201003.Lanche,0.42
2020-01-01,IPCA % acum. ano,1201007.Refrigerante e água mineral,0.06
2020-01-01,IPCA % acum. ano,1201009.Cafezinho,-0.43
2020-01-01,IPCA % acum. ano,1201048.Cerveja,1.05
2020-01-01,IPCA % acum. ano,1201051.Outras bebidas alcoólicas,-0.12
2020-01-01,IPCA % acum. ano,1201052.Vinho,-2.04
2020-01-01,IPCA % acum. ano,1201061.Doces,0.47
2020-01-01,IPCA % acum. ano,1201088.Sorvete,-0.56
2020-01-01,IPCA % acum. ano,2.Habitação,0.55
2020-01-01,IPCA % acum. ano,21.Encargos e manutenção,0.68
2020-01-01,IPCA % acum. ano,2101.Aluguel e taxas,0.76
2020-01-01,IPCA % acum. ano,2101001.Aluguel residencial,0.61
2020-01-01,IPCA % acum. ano,2101002.Condomínio,1.39
2020-01-01,IPCA % acum. ano,2101004.Taxa de água e esgoto,0.3
2020-01-01,IPCA % acum. ano,2101012.Mudança,0.0
2020-01-01,IPCA % acum. ano,2103.Reparos,0.44
2020-01-01,IPCA % acum. ano,2103005.Ferragens,-0.33
2020-01-01,IPCA % acum. ano,2103008.Material de eletricidade,-0.52
2020-01-01,IPCA % acum. ano,2103012.Vidro,3.39
2020-01-01,IPCA % acum. ano,2103014.Tinta,0.44
2020-01-01,IPCA % acum. ano,2103032.Revestimento de piso e parede,1.13
2020-01-01,IPCA % acum. ano,2103038.Madeira e taco,-0.51
2020-01-01,IPCA % acum. ano,2103039.Cimento,1.36
2020-01-01,IPCA % acum. ano,2103040.Tijolo,1.29
2020-01-01,IPCA % acum. ano,2103041.Material hidráulico,1.17
